Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Chief Information Officer,CIO,Male,"New York, NY, USA",NYC Metro,North America,91,No,< 250 employees,Financial Services,Government / Municipality,CEO,USD (U.S. Dollar),"$574,348","$67,881",,"$642,229","AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",20,Per request,Yes,"$10,000","$10,000",No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,2,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations","Internal / proprietary AI risk framework,None at this time","API security,Third party risk attacks",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CIO,City of New York
Chief Information Officer,CIO,Male,"Austin, TX, USA",Austin,North America,36,No,< 250 employees,Telecommunications,Non-Profit,CEO,USD (U.S. Dollar),"$574,348",$0,,"$574,348","AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Security Operations,Third Party Risk Management (TPRM)",1,Per request,No,,,No,Neither,No,Yes,Yes,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Third-party/vendor AI risk management,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Integration with critical systems creating attack vectors,Regulatory compliance violations",EU AI Act requirements (compliance-driven),"Identity/credential theft,Other,Ransomware,Third party risk attacks",Somewhat confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",Already have a dedicated AI Security leader in place,Synthetic,CIO,SANS Institute
Chief Information Officer,CIO,Male,"Philadelphia, PA, USA",Philadelphia,North America,52,Yes,< 250 employees,Enterprise Software,Non-Profit,CEO,USD (U.S. Dollar),"$698,453",,,"$698,453","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,Yes,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,3,Shadow AI,"AI-generated content being used in social engineering attacks,Dependency on AI vendors with unclear security practices,Regulatory compliance violations,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Insider threats,Ransomware",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",I am the AI Security leader,Synthetic,CIO,ISACA
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,8,No,< 250 employees,Internet,Non-Profit,CEO,USD (U.S. Dollar),"$558,141",$0,,"$558,141","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM),Trust & Safety",4,At least annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Percentage of company revenue",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,3,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Regulatory compliance violations",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Phishing/social engineering,Third party risk attacks",Don't Know / Not applicable,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Smithsonian Institution
CIO,CIO,Male,"New York, NY, USA",NYC Metro,North America,5,Yes,< 250 employees,Banking / Financial Services,Non-Profit,CEO,USD (U.S. Dollar),"$450,000","$102,388",,"$552,388","AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Incident Response,Post-Quantum Cryptography (PQC),Privacy",5,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Developing but inconsistent,1,Shadow AI,"Data exposure/privacy breaches,Regulatory compliance violations","NIST AI Risk Management Framework (AI RMF),Other","Cloud misconfigurations,Identity/credential theft,Insider threats,Phishing/social engineering",Somewhat confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring",Yes,Synthetic,CIO,Catholic Charities
CIO/CISO,CIO,Male,New York,NYC Metro,North America,192,No,< 250 employees,BioTech,Non-Profit,COO / President,USD (U.S. Dollar),"$769,444",,,"$769,444","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Privacy,Security Operations,Third Party Risk Management (TPRM)",1,At least semi-annually,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Attack Surface / Risk Assessment",No,Workforce training and upskilling on AI risks,Developing but inconsistent,8,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Intellectual property theft through AI platforms",NIST AI Risk Management Framework (AI RMF),"Insider threats,AI-enhanced attacks,Phishing/social engineering",Don't Know / Not applicable,Other,I am the AI Security leader,Actual,CISO,
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,17,Yes,< 250 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),"$400,000","$163,117","$444,471","$1,007,588","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",1,At least quarterly,No,,,No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Other,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft,Mobile / BYOD threats,Ransomware,Zero-day exploits",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CIO,Wiz
Chief Information Officer,CIO,Male,"Tulsa, OK, USA",Tulsa,North America,58,Yes,< 250 employees,Enterprise Software,Privately Held Company,CEO,USD (U.S. Dollar),"$400,000",$0,"$800,000","$1,200,000","AI Data Protection / Privacy and Security,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",4,At least quarterly,Yes,"$100,000","$100,000",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,4,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","Cloud misconfigurations,Phishing/social engineering",Very confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Recorded Future
Chief Information Officer,CIO,Male,"Baltimore, MD, USA",Baltimore,North America,6,No,< 250 employees,Cloud Security,Privately Held Company,CEO,USD (U.S. Dollar),"$400,000","$36,206","$526,970","$963,176","AI Data Protection / Privacy and Security,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,GRC,Information Technology (IT) / Business Technology (BizApps),Post-Quantum Cryptography (PQC),Privacy,Security Operations,Third Party Risk Management (TPRM)",32,At least semi-annually,No,,,No,Neither,No,No,No,Yes (Cash and / or Equity),"Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,15,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","NIST AI Risk Management Framework (AI RMF),Other","AI-enhanced attacks,Identity/credential theft,Phishing/social engineering,Third party risk attacks",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Uncertainty in defining the right skills and profile for the role",No,Synthetic,CIO,Hub International
Chief Information Officer,CIO,Male,"Austin, TX, USA",Austin,North America,42,Yes,< 250 employees,Banking / Financial Services,Privately Held Company,CEO,USD (U.S. Dollar),"$400,000","$305,559","$495,189","$1,200,748","AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,GRC,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",10,At least quarterly,No,,,No,Not Sure,No,No,Yes,No,Business Impact,No,Workforce training and upskilling on AI risks,Initial / ad hoc efforts,20,Aligning AI security with enterprise risk management frameworks,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices","EU AI Act requirements (compliance-driven),ISO/IEC 23894 (AI Risk Management),NIST AI Risk Management Framework (AI RMF)","Insider threats,Phishing/social engineering",Somewhat confident,"Other,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,CDW
