Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Company Structure,Title of person you report to?,Compensation Currency,Base-Converted,Bonus-Converted,Equity-Converted,Total Comp-Converted,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Chief Information Officer,CIO,Male,"Kansas City, MO, USA",Kansas City,North America,2,Yes,250 - 499 employees,BioTech,Government / Municipality,CEO,USD (U.S. Dollar),370000,"$63,000",,433000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Security Operations,Third Party Risk Management (TPRM)",4,At least quarterly,No,,,No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",Yes,Third-party/vendor AI risk management,Developing but inconsistent,10,Shadow AI,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls",Other,"AI-enhanced attacks,Insider threats,Phishing/social engineering,Third party risk attacks,Zero-day exploits",Somewhat confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Synthetic,CIO,U.S. Department of Defense
Chief Information Officer,CIO,Male,"New York, NY, USA",NYC Metro,North America,91,No,< 250 employees,Financial Services,Government / Municipality,CEO,USD (U.S. Dollar),190000,"$21,000",,211000,"AI Governance / Risk Management and Policy,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",20,Per request,Yes,"$10,000","$10,000",No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,2,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations","Internal / proprietary AI risk framework,None at this time","API security,Third party risk attacks",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,CIO,City of New York
Chief Information Officer,CIO,Male,"Dallas, TX, USA",Dallas,North America,39,Yes,500 - 999 employees,Artificial Intelligence (AI),Government / Municipality,CEO,USD (U.S. Dollar),420000,,,420000,"AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Enterprise Risk,Fraud,GRC,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",13,At least quarterly,No,,,No,Neither,No,No,Yes,No,"Attack Surface / Risk Assessment,Business Impact",Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,5,Shadow AI,"AI decision-making in security tools creating blind spots,Data exposure/privacy breaches","ISO/IEC 23894 (AI Risk Management),Other","AI-enhanced attacks,Cloud misconfigurations,Identity/credential theft",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,Cook County
Chief Information Officer,CIO,Male,"Dallas, TX, USA",Dallas,North America,25,No,"5000 - 9,999 employees",HealthTech,Government / Municipality,Chief Information Officer,USD (U.S. Dollar),105000,"$79,000",,184000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",5,Per request,No,,,No,Neither,Yes,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,10,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Identity/credential theft,Phishing/social engineering,Ransomware,Third party risk attacks",Not confident,Time spent screening unqualified candidates,No,Synthetic,CIO,City of New York
Chief Information Officer,CIO,Female,"Houston, TX, USA",Houston,North America,22,Yes,1000 - 4999 employees,Healthcare,Government / Municipality,Chief Technology Officer,USD (U.S. Dollar),370000,,,370000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Other,Product Security / AppSec,Security Operations",30,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics,Percentage of company revenue",No,Third-party/vendor AI risk management,Established and repeatable,10,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",EU AI Act requirements (compliance-driven),"Identity/credential theft,Phishing/social engineering",Not confident,Time spent screening unqualified candidates,Already have a dedicated AI Security leader in place,Synthetic,CIO,Texas Department of Information Resources
Chief Information Officer,CIO,Male,"Chicago, IL, USA",Chicago,North America,12,Yes,"5000 - 9,999 employees",Logistics / Transportation,Government / Municipality,Chief Information Officer,USD (U.S. Dollar),260000,,,260000,"AI Threat Intelligence and Incident Response,Cloud Security,Enterprise Risk,GRC,Incident Response,Other,Privacy,Security Operations,Third Party Risk Management (TPRM)",60,At least quarterly,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),"Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,Third-party/vendor AI risk management,Initial / ad hoc efforts,10,Other,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches,Regulatory compliance violations,Shadow AI usage bypassing security controls",EU AI Act requirements (compliance-driven),"API security,Ransomware",Somewhat confident,Time spent screening unqualified candidates,I am the AI Security leader,Synthetic,CIO,State of Florida
CIO,CIO,Male,"Los Angeles, CA, USA",Los Angeles,North America,40,No,500 - 999 employees,Education,Government / Municipality,CEO,USD (U.S. Dollar),235000,"$158,000",,393000,"AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Third Party Risk Management (TPRM)",2,At least quarterly,No,,,No,Neither,Yes,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Third-party/vendor AI risk management,Developing but inconsistent,4,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security,Phishing/social engineering,Ransomware",Somewhat confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",No,Synthetic,CIO,U.S. Department of Energy
Chief Information Officer,CIO,Male,"New York, NY, USA",NYC Metro,North America,66,Yes,1000 - 4999 employees,Cloud Security,Non-Profit,Chief Information Officer,USD (U.S. Dollar),170000,"$161,000",,331000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Physical Security / Executive Protection,Product Security / AppSec,Third Party Risk Management (TPRM)",48,At least quarterly,Yes,"$25,000","$25,000",No,Neither,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,5,Shadow AI,Shadow AI usage bypassing security controls,None at this time,"Mobile / BYOD threats,Ransomware",Very confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",Already have a dedicated AI Security leader in place,Synthetic,CIO,Center for Internet Security
Chief Information Officer,CIO,Male,"Boston, MA, USA",Boston,North America,55,No,"10,000 - 25,000 employees",Professional Services,Non-Profit,Chief Information Officer,USD (U.S. Dollar),380000,"$42,000",325000,747000,"AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Physical Security / Executive Protection,Third Party Risk Management (TPRM)",17,Per request,No,,,No,Neither,No,No,Yes,Yes (Cash and / or Equity),Business Impact,Yes,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,"AI-generated content being used in social engineering attacks,Data exposure/privacy breaches",ISO/IEC 23894 (AI Risk Management),"Cloud misconfigurations,Identity/credential theft,Phishing/social engineering,Third party risk attacks",Very confident,Location (RTO) constraints limiting hiring,No,Synthetic,CIO,NYU
Chief Information Officer,CIO,Male,"San Francisco, CA, USA",Bay Area,North America,6,Yes,1000 - 4999 employees,Consumer Software,Non-Profit,Chief Technology Officer,USD (U.S. Dollar),370000,"$706,000",,1076000,"AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Trust & Safety",270,At least quarterly,Yes,"$20,000","$20,000",No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Established and repeatable,20,Shadow AI,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,Phishing/social engineering",Not confident,"Competing with salary expectations in the market,Risk of hiring someone who looks good on paper but lacks depth",Already have a dedicated AI Security leader in place,Synthetic,CIO,NYU
Chief Information Officer,CIO,Male,"Charlotte, NC, USA",Charlotte,North America,36,No,"5000 - 9,999 employees",Insurance,Non-Profit,Chief Information Officer,USD (U.S. Dollar),375000,,,375000,"AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",32,At least quarterly,No,,,No,Neither,No,Yes,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,0,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",Internal / proprietary AI risk framework,"AI-enhanced attacks,Cloud misconfigurations,Insider threats,Phishing/social engineering,Zero-day exploits",Not confident,"Competing with salary expectations in the market,Location (RTO) constraints limiting hiring,Time spent screening unqualified candidates",No,Synthetic,CIO,ISC2
